city,state,population
Bluefield ,WV,"11,093"
Suffern,NY,"11,088"
Fox Lake,IL,"11,087"
Magnolia ,AR,"11,081"
Chino Valley,AZ,"11,078"
Glenn Heights ,TX,"11,078"
Mexico ,MO,"11,074"
Arkansas City ,KS,"11,070"
Oskaloosa ,IA,"11,069"
Parsons ,KS,"11,065"
Kingsburg ,CA,"11,064"
Port Royal,SC,"11,064"
Fredonia,NY,"11,064"
Vidor ,TX,"11,063"
Crestwood,IL,"11,051"
Guthrie ,OK,"11,043"
Plymouth ,IN,"11,038"
Worthington ,MN,"11,036"
Huron ,SD,"11,033"
Campton Hills,IL,"11,031"
Tarrytown,NY,"11,031"
Pompton Lakes,NJ,"11,031"
Haverstraw,NY,"11,029"
Fairburn ,GA,"11,024"
Bolivar ,MO,"11,013"
Blackfoot ,ID,"11,012"
Campbellsville ,KY,"11,010"
Lewisburg ,TN,"11,003"
Rochester ,MI,"11,002"
St. Albans ,WV,"10,996"
Artesia ,NM,"10,994"
Ontario ,OR,"10,991"
Spencer ,IA,"10,986"
Cedar Lake,IN,"10,981"
Wood River ,IL,"10,973"
Healdsburg ,CA,"10,971"
St. Peter ,MN,"10,971"
South Lyon ,MI,"10,959"
Grosse Pointe Park ,MI,"10,956"
Lake Grove,NY,"10,948"
Burlington ,WI,"10,930"
Vernon ,TX,"10,924"
Sturgis ,MI,"10,916"
Newberry ,SC,"10,907"
Fort Madison ,IA,"10,897"
Signal Hill ,CA,"10,882"
Suamico,WI,"10,881"
Sedro-Woolley ,WA,"10,871"
Trenton ,OH,"10,866"
Lincolnton ,NC,"10,859"
West Richland ,WA,"10,857"
Ridgefield,NJ,"10,851"
Camp Verde,AZ,"10,849"
Hillsborough,CA,"10,844"
Beachwood,NJ,"10,835"
Sierra Madre ,CA,"10,834"
Wabash ,IN,"10,815"
Benton Harbor ,MI,"10,814"
Merriam ,KS,"10,814"
Palatka ,FL,"10,813"
Indianola ,MS,"10,805"
Marinette ,WI,"10,800"
Manville,NJ,"10,800"
Maryville ,MO,"10,800"
Lawrenceburg ,TN,"10,778"
El Campo ,TX,"10,773"
Clute ,TX,"10,765"
Vermilion ,OH,"10,754"
Calera ,AL,"10,742"
Norcross ,GA,"10,737"
Galion ,OH,"10,737"
Struthers ,OH,"10,734"
Greensburg ,IN,"10,730"
Oneida ,NY,"10,723"
Sebring ,FL,"10,714"
Town and Country ,MO,"10,710"
South Miami ,FL,"10,707"
Kennett ,MO,"10,707"
Guymon ,OK,"10,702"
Westwood,NJ,"10,699"
Lansing ,KS,"10,691"
Enumclaw ,WA,"10,684"
Chatham,IL,"10,676"
River Edge,NJ,"10,674"
Webster ,TX,"10,665"
Bonham ,TX,"10,660"
Sweetwater ,TX,"10,657"
Orange Cove ,CA,"10,641"
Lansdowne,PA,"10,638"
Lincoln Park,NJ,"10,635"
Aliquippa ,PA,"10,631"
Mebane ,NC,"10,624"
Totowa,NJ,"10,621"
Grand Haven ,MI,"10,608"
Oil City ,PA,"10,598"
Dallas ,GA,"10,584"
Petal ,MS,"10,575"
Richmond Hill ,GA,"10,571"
Lindsay ,CA,"10,571"
Union City ,TN,"10,569"
Loganville ,GA,"10,562"
Keansburg,NJ,"10,550"
Superior,CO,"10,549"
Fort Morgan ,CO,"10,539"
Massena,NY,"10,539"
Anderson ,CA,"10,538"
Vienna ,WV,"10,536"
Jennings ,LA,"10,529"
Guttenberg,NJ,"10,528"
Minooka,IL,"10,514"
Coldwater ,MI,"10,514"
Vermillion ,SD,"10,495"
Bedford Heights ,OH,"10,485"
Piedmont ,CA,"10,481"
Monroe ,WI,"10,481"
Santa Fe ,TX,"10,479"
Little Ferry,NJ,"10,477"
Waupun ,WI,"10,469"
East Grand Rapids ,MI,"10,467"
Lindon ,UT,"10,466"
Alpena ,MI,"10,465"
Jesup ,GA,"10,459"
Montgomery ,OH,"10,458"
Kendallville ,IN,"10,452"
Woodbury ,NJ,"10,450"
East Rockaway,NY,"10,438"
Macedonia ,OH,"10,435"
Steger,IL,"10,421"
Burkburnett ,TX,"10,418"
North Branch ,MN,"10,417"
Brooklyn ,OH,"10,410"
Snyder ,TX,"10,406"
Atchison ,KS,"10,402"
Wyomissing,PA,"10,399"
Mount Kisco,NY,"10,393"
East Stroudsburg,PA,"10,390"
Keokuk ,IA,"10,387"
Cheney ,WA,"10,385"
Springdale ,OH,"10,384"
Barrington,IL,"10,374"
Bound Brook,NJ,"10,365"
Haysville ,KS,"10,364"
Lumberton ,TX,"10,354"
Grain Valley ,MO,"10,352"
Andover ,KS,"10,351"
Mendota ,CA,"10,339"
Morro Bay ,CA,"10,333"
Silver City,NM,"10,329"
Robinson ,TX,"10,327"
Brownsville ,TN,"10,316"
Coffeyville ,KS,"10,312"
Denham Springs ,LA,"10,308"
Davidson,NC,"10,305"
Platteville ,WI,"10,297"
Boerne ,TX,"10,283"
Corning ,NY,"10,281"
Leon Valley ,TX,"10,269"
Doraville ,GA,"10,268"
Coolidge ,AZ,"10,261"
Tarboro,NC,"10,257"
Big Rapids ,MI,"10,257"
Wasilla ,AK,"10,256"
Celina ,OH,"10,255"
Sauk Village,IL,"10,254"
Pleasant Grove ,AL,"10,254"
West Haverstraw,NY,"10,252"
Lyons,IL,"10,250"
Gulf Shores ,AL,"10,248"
Cadillac ,MI,"10,245"
Bellefontaine Neighbors ,MO,"10,241"
Tomball ,TX,"10,234"
Newman ,CA,"10,226"
Summit,IL,"10,223"
Fairmont ,MN,"10,221"
Berwick,PA,"10,216"
Sleepy Hollow,NY,"10,212"
Van Wert ,OH,"10,211"
Martin ,TN,"10,208"
Pella ,IA,"10,208"
Galena Park ,TX,"10,207"
Nanticoke ,PA,"10,199"
Shasta Lake ,CA,"10,192"
Mayfield ,KY,"10,186"
Weatherford ,OK,"10,185"
Richmond Heights ,OH,"10,174"
Millington ,TN,"10,165"
Cape Canaveral ,FL,"10,147"
Greencastle ,IN,"10,145"
Andrews ,TX,"10,142"
Lexington ,NE,"10,126"
Cedartown ,GA,"10,123"
Washington ,NC,"10,112"
Westwego ,LA,"10,098"
Prineville ,OR,"10,085"
Mount Holly ,NC,"10,081"
Jacksonville ,AL,"10,077"
East Rutherford,NJ,"10,074"
Lantana,FL,"10,071"
Girard ,OH,"10,069"
Farmersville ,CA,"10,056"
Sussex,WI,"10,048"
Columbia,PA,"10,033"
Riverton ,WY,"10,032"
Fort Mill,SC,"10,032"
Dunn ,NC,"10,029"
Manchester ,TN,"10,012"
Spearfish ,SD,"10,010"
DeRidder ,LA,"10,008"
Placerville ,CA,"9,994"
River Grove,IL,"9,992"
