city,state,population
Oshkosh ,WI,"63,679"
Weston ,FL,"63,628"
Walnut Creek ,CA,"63,486"
Camarillo ,CA,"63,324"
Kennewick ,WA,"63,216"
Jackson ,TN,"63,158"
Pico Rivera ,CA,"63,138"
Davis ,CA,"62,593"
Portland ,ME,"62,561"
Victoria ,TX,"62,558"
Janesville ,WI,"62,516"
South San Francisco ,CA,"62,502"
Hamilton ,OH,"62,477"
Bossier City ,LA,"62,384"
Cedar Park ,TX,"62,308"
Kissimmee ,FL,"62,291"
Springfield ,OH,"62,269"
Renton ,WA,"62,266"
Rancho Cordova ,CA,"62,265"
Union City ,NJ,"62,183"
Johnson City ,TN,"61,990"
Montebello ,CA,"61,906"
Coon Rapids ,MN,"61,832"
Maple Grove ,MN,"61,542"
San Clemente ,CA,"61,465"
Warner Robins ,GA,"61,336"
Lodi ,CA,"61,301"
Haverhill ,MA,"61,275"
Monterey Park ,CA,"61,234"
Yuba City ,CA,"61,226"
Eden Prairie ,MN,"61,191"
Schenectady ,NY,"61,152"
Shawnee ,KS,"60,954"
Bristol ,CT,"60,927"
Huntington Park ,CA,"60,898"
Rockville ,MD,"60,734"
Bismarck ,ND,"60,389"
Encinitas ,CA,"60,372"
St. Clair Shores ,MI,"60,364"
Waltham ,MA,"60,236"
Flagstaff ,AZ,"60,222"
Revere ,MA,"60,204"
Terre Haute ,IN,"60,007"
Greenville ,SC,"59,988"
Temple ,TX,"59,654"
Council Bluffs ,IA,"59,536"
Goodyear ,AZ,"59,508"
Johns Creek ,GA,"59,431"
North Little Rock ,AR,"59,430"
West Allis ,WI,"59,416"
Palo Alto ,CA,"59,395"
Tamarac ,FL,"59,340"
Great Falls ,MT,"59,251"
Frederick ,MD,"59,213"
Tinley Park,IL,"59,198"
Meriden ,CT,"59,186"
La Habra ,CA,"59,155"
Burnsville ,MN,"59,139"
Taylorsville ,UT,"58,785"
Vineland ,NJ,"58,780"
Gaithersburg ,MD,"58,744"
National City ,CA,"58,680"
Gardena ,CA,"58,554"
Franklin ,TN,"58,481"
Utica ,NY,"58,082"
Homestead ,FL,"57,936"
Conway ,AR,"57,544"
Bayonne ,NJ,"57,448"
White Plains ,NY,"57,342"
Anderson ,IN,"57,282"
Dubuque ,IA,"57,250"
Diamond Bar ,CA,"57,235"
Springfield ,OR,"57,224"
Royal Oak ,MI,"57,110"
Galveston ,TX,"57,086"
Des Plaines ,IL,"57,062"
Rocky Mount ,NC,"57,010"
Lakewood ,WA,"56,983"
Cheyenne ,WY,"56,915"
Rogers ,AR,"56,726"
Madera ,CA,"56,700"
Tulare ,CA,"56,654"
Lake Havasu City ,AZ,"56,553"
Ames ,IA,"56,510"
Midwest City ,OK,"56,394"
Arcadia ,CA,"56,248"
Woodbury ,MN,"56,128"
Santa Cruz ,CA,"56,124"
Auburn ,AL,"56,088"
Decatur ,AL,"56,068"
Port Arthur ,TX,"55,910"
North Miami ,FL,"55,908"
Rowlett ,TX,"55,780"
Taunton ,MA,"55,702"
Blue Springs ,MO,"55,698"
Perris ,CA,"55,643"
Saginaw ,MI,"55,620"
San Rafael ,CA,"55,602"
Malden ,MA,"55,597"
Medford ,MA,"55,573"
Fountain Valley ,CA,"55,516"
Owensboro ,KY,"55,516"
Orland Park,IL,"55,514"
St. Peters ,MO,"55,500"
Conroe ,TX,"55,429"
Auburn ,WA,"55,426"
West Des Moines ,IA,"55,426"
Paramount ,CA,"55,236"
Bowling Green ,KY,"55,097"
Blaine ,MN,"55,042"
Elyria ,OH,"54,979"
Chicopee ,MA,"54,941"
North Port ,FL,"54,907"
Pocatello ,ID,"54,901"
Carson City,NV,"54,867"
Broomfield ,CO,"54,858"
Ocala ,FL,"54,801"
La Mesa ,CA,"54,673"
Petaluma ,CA,"54,666"
Lancaster ,PA,"54,626"
Port Orange ,FL,"54,616"
Woodland ,CA,"54,567"
Lakeville ,MN,"54,542"
Wellington,FL,"54,530"
Wheaton ,IL,"54,465"
Rosemead ,CA,"54,412"
Idaho Falls ,ID,"54,334"
Milford ,CT,"54,136"
Margate ,FL,"54,086"
Casper ,WY,"54,047"
Hempstead,NY,"53,915"
Santee ,CA,"53,860"
Pensacola ,FL,"53,820"
Kettering ,OH,"53,708"
Hoffman Estates,IL,"53,641"
Cupertino ,CA,"53,637"
New Braunfels ,TX,"53,547"
Bradenton ,FL,"53,513"
Mount Prospect,IL,"53,338"
Oak Lawn,IL,"53,244"
Delano ,CA,"53,051"
San Marcos ,TX,"52,927"
Rocklin ,CA,"52,811"
Novato ,CA,"52,785"
Elkhart ,IN,"52,653"
Moore ,OK,"52,615"
Euless ,TX,"52,579"
Bowie ,MD,"52,544"
Chapel Hill,NC,"52,542"
West Haven ,CT,"52,420"
Sarasota ,FL,"52,340"
Manhattan ,KS,"52,284"
Cathedral City ,CA,"52,095"
Normal,IL,"52,056"
Battle Creek ,MI,"52,053"
Shoreline ,WA,"52,005"
Hattiesburg ,MS,"51,993"
Dearborn Heights ,MI,"51,972"
Porterville ,CA,"51,830"
Mentor ,OH,"51,825"
Middletown ,OH,"51,422"
Niagara Falls ,NY,"51,345"
Peabody ,MA,"51,331"
Cerritos ,CA,"51,326"
Grand Forks ,ND,"51,313"
Monroe ,LA,"51,215"
New Brunswick ,NJ,"51,149"
South Jordan ,UT,"51,131"
Corvallis ,OR,"51,110"
Highland ,CA,"51,096"
Cuyahoga Falls ,OH,"51,090"
Lake Elsinore ,CA,"50,952"
La Crosse ,WI,"50,902"
Palm Desert ,CA,"50,876"
Burlington ,NC,"50,857"
Lakewood ,OH,"50,704"
Sanford ,FL,"50,634"
Florissant ,MO,"50,561"
Colton ,CA,"50,517"
Grapevine ,TX,"50,471"
Watsonville ,CA,"50,442"
Coconut Creek ,FL,"50,436"
Pine Bluff ,AR,"50,408"
Charleston ,WV,"50,302"
