Member,Party,Home State,District,Meeting Type,Date,Time,Location,Address
Danny K. Davis,Democratic,Illinois,IL-07,Town Hall,"Thu, Feb 23, 2017","7:00 PM, CST",Xilin Art Academy,"2356 S Wentworth Ave, Chicago, IL 60616"
Luis Gutierrez,Democrat,Illinois,IL-04,Town Hall,"Mon, Mar 6, 2017","6:30 PM, CST",Logandale Middle School,"3212 W George St, Chicago, IL 60618"
Larry Bucshon,Republican,Indiana,IN-08,Office Hours,"Tue, Apr 4, 2017","1:30 PM, EST",Huntingburg City Hall,"508 E 4th St, Huntingburg, IN 47542"
Larry Bacshon,Republican,Indiana,IN-08,Office Hours,"Tue, Mar 14, 2017","1:30 PM, CST",Tell City City Hall,"700 Main St, Tell City, IN 47586"
Jackie Walorski,Republican,Indiana,IN-2,Office Hours,"Tue, Feb 21, 2017","10:00 AM, EST",Francesville Town Hall,"100 N Brooks St, Francesville, IN 47946"
Peter J. Visclosky,Democratic,Indiana,IN-1,Other,"Wed, Feb 22, 2017","6:00 PM, CST",Valparaiso University Ð Harre Union,"1509 Chapel Dr, Valparaiso, IN 46383"
Jackie Walorski,Republican,Indiana,IN-2,Office Hours,"Thu, Feb 23, 2017","9:00 AM, EST","Peru City Hall, Board of Works Room","35 S Broadway, Peru, IN 46970"
Jackie Walorski,Republican,Indiana,IN-2,Office Hours,"Thu, Feb 23, 2017","12:00 PM, EST","Wabash City Hall, Board Room","202 S Wabash St, Wabash, IN 46992"
Andre Carson,Democratic,Indiana,IN-7,Office Hours,"Tue, Feb 28, 2017","11:00 AM, EST",CAFE (Community Alliance of the Far Eastside),"8902 E 38th St, Indianapolis, IN 46226"
Jackie Walorski,Republican,Indiana,IN-2,Office Hours,"Tue, Feb 28, 2017","1:00 PM, EST",Silver Lake Town Hall,"604 N Jefferson St, Silver Lake, IN 46982"
Andre Carson,Democrat,Indiana,IN-07,Office Hours,"Tue, Feb 28, 2017","11:00 AM, EST",CAFE (Community Alliance of the Far Eastside),"8902 E 38th St, Indianapolis, IN 46226"
Larry Bacshon,Republican,Indiana,IN-08,Office Hours,"Thu, Mar 2, 2017","10:00 AM, EST",Petersburg City Hall,"704 Main St, Petersburg, IN 47567"
Larry Bucshon,Republican,Indiana,IN-08,Office Hours,"Tue, Mar 7, 2017","9:30 AM, EST",Clay County Court House,"609 E National Ave, Brazil, IN 47834"
Larry Bucshon,Republican,Indiana,IN-08,Office Hours,"Tue, Mar 7, 2017","1:30 PM, EST",Ferdinand Town Hall,"2065 Main St, Ferdinand, IN 47532"
